2024-12-07 16:50:26 - root - INFO: - iter:[98/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.530994 loss_bce: 0.278040 loss_rst: 0.245405 loss_flow: 0.007147 loss_conf: 0.000402
2024-12-07 16:50:30 - root - INFO: - iter:[99/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.663470 loss_bce: 0.351452 loss_rst: 0.306214 loss_flow: 0.005441 loss_conf: 0.000363
2024-12-07 16:50:33 - root - INFO: - iter:[100/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.617119 loss_bce: 0.293543 loss_rst: 0.317534 loss_flow: 0.005559 loss_conf: 0.000483
2024-12-07 16:50:36 - root - INFO: - iter:[101/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.522462 loss_bce: 0.272320 loss_rst: 0.245933 loss_flow: 0.003635 loss_conf: 0.000574
2024-12-07 16:50:39 - root - INFO: - iter:[102/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.602548 loss_bce: 0.286489 loss_rst: 0.311622 loss_flow: 0.004015 loss_conf: 0.000422
2024-12-07 16:50:42 - root - INFO: - iter:[103/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.573476 loss_bce: 0.248768 loss_rst: 0.320452 loss_flow: 0.003911 loss_conf: 0.000346
2024-12-07 16:50:46 - root - INFO: - iter:[104/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.507333 loss_bce: 0.259982 loss_rst: 0.244233 loss_flow: 0.002833 loss_conf: 0.000286
2024-12-07 16:50:49 - root - INFO: - iter:[105/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.632124 loss_bce: 0.341676 loss_rst: 0.286021 loss_flow: 0.004093 loss_conf: 0.000334
2024-12-07 16:50:52 - root - INFO: - iter:[106/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.625601 loss_bce: 0.307513 loss_rst: 0.309912 loss_flow: 0.007365 loss_conf: 0.000810
2024-12-07 16:50:56 - root - INFO: - iter:[107/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.647112 loss_bce: 0.370991 loss_rst: 0.272216 loss_flow: 0.003251 loss_conf: 0.000653
2024-12-07 16:50:59 - root - INFO: - iter:[108/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.691615 loss_bce: 0.336927 loss_rst: 0.348101 loss_flow: 0.006033 loss_conf: 0.000553
2024-12-07 16:51:02 - root - INFO: - iter:[109/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.500736 loss_bce: 0.244276 loss_rst: 0.251282 loss_flow: 0.004826 loss_conf: 0.000351
2024-12-07 16:51:05 - root - INFO: - iter:[110/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.702858 loss_bce: 0.393940 loss_rst: 0.302332 loss_flow: 0.006343 loss_conf: 0.000243
2024-12-07 16:51:08 - root - INFO: - iter:[111/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.565395 loss_bce: 0.312551 loss_rst: 0.238588 loss_flow: 0.013820 loss_conf: 0.000435
